S.No,Contract No.,Reg. No.,Asset Id.,State,Location,Category,Brand,Model,Year,Start Price,Bidders Count,Sale Price,Yard Entry Date,Posted Date,Auction Start Date,Auction Start Time,Auction End Date,Auction End Time,Status
1,ATELETTW03575,AP39BS8995,AP/201224/0215,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,HONDA DIO,2019,55400,3,55500,29-09-2020,24-12-2020 18:53:26,24-12-2020,10:01:00,31-12-2020,17:10:00,SOLD OUT
2,ATELETTW03780,AP39CL7474,AP/201224/0214,ANDHRA PRADESH,Eluru,TWO WHEELER,SUZUKI,ACCESS 125,2019,66000,2,66000,24-08-2020,24-12-2020 18:52:46,24-12-2020,12:10:00,31-12-2020,18:07:00,BID CONFIRMED
3,ATELETTW03893,AP39CS4326,AP/201224/0213,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,60000,5,58500,24-08-2020,24-12-2020 18:51:38,24-12-2020,08:02:00,06-01-2021,17:09:00,BID CONFIRMED
4,ATELETTW03926,AP39DA0792,AP/201224/0212,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,HONDA SHINE,2019,48000,1,49000,29-09-2020,24-12-2020 18:51:02,24-12-2020,10:11:00,18-01-2021,17:06:00,POSTED FOR SALE
5,ATELJTTW01325,AP39Q5285,AP/201224/0211,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,LIVO (CBF110G),2018,44500,0,0,24-08-2020,24-12-2020 18:50:22,24-12-2020,10:11:00,18-01-2021,17:09:00,POSTED FOR SALE
6,ATELJTTW01431,AP39BJ4542,AP/201224/0210,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,TVS JUPITER GRANDE DISC,2019,48500,0,0,24-08-2020,24-12-2020 18:49:47,24-12-2020,08:07:00,18-01-2021,17:05:00,POSTED FOR SALE
7,ATELJTTW01495,AP39CD1153,AP/201224/0209,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,JUPITER DISC,2019,43000,1,43100,29-09-2020,24-12-2020 18:49:06,24-12-2020,11:04:00,18-01-2021,17:00:00,POSTED FOR SALE
8,ATELJTTW01625,AP39CD1084,AP/201224/0208,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,TVS RADEON,2019,43000,3,40000,24-08-2020,24-12-2020 18:48:31,24-12-2020,12:02:00,06-01-2021,17:04:00,BID CONFIRMED
9,ATELJTTW01646,AP39CQ8312,AP/201224/0207,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,Jupiter,2019,45000,1,45100,29-09-2020,24-12-2020 18:47:39,24-12-2020,12:04:00,18-01-2021,17:03:00,POSTED FOR SALE
10,ATELJTTW01827,AP39DZ5165,AP/201224/0206,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,TVS RADEON,2020,43500,0,0,29-09-2020,24-12-2020 18:46:45,24-12-2020,11:22:00,18-01-2021,17:10:00,POSTED FOR SALE
11,ATGRGSTW07190,AP39BK1970,AP/201224/0205,ANDHRA PRADESH,Guntur,TWO WHEELER,SUZUKI,ACCESS 125,2019,60000,8,67050,29-09-2020,24-12-2020 18:46:03,24-12-2020,10:13:00,06-01-2021,18:08:00,SOLD OUT
12,ATGRGSTW07612,AP39CB1481,AP/201224/0204,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,PASSION PRO,2019,44000,0,0,29-09-2020,24-12-2020 18:45:16,24-12-2020,10:06:00,18-01-2021,17:04:00,POSTED FOR SALE
13,ATGRTATW03341,AP39AM9686,AP/201224/0203,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,55000,5,55500,29-09-2020,24-12-2020 18:44:18,24-12-2020,12:10:00,31-12-2020,18:04:00,SOLD OUT
14,ATGRTATW03552,AP39BS2059,AP/201224/0202,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 VX,2019,44000,0,0,24-08-2020,24-12-2020 18:43:29,24-12-2020,09:09:00,18-01-2021,17:09:00,POSTED FOR SALE
15,ATGRTATW03574,AP39CD2190,AP/201224/0201,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 VX,2019,45000,0,0,29-09-2020,24-12-2020 18:42:11,24-12-2020,09:08:00,18-01-2021,17:07:00,POSTED FOR SALE
16,ATGRTATW03620,AP39CA5116,AP/201224/0200,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,68000,6,57555,24-08-2020,24-12-2020 18:40:40,24-12-2020,11:10:00,06-01-2021,18:05:00,BID CONFIRMED
17,ATGRTATW03623,AP39CA0881,AP/201224/0199,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,67000,6,57955,24-08-2020,24-12-2020 18:39:19,24-12-2020,09:08:00,06-01-2021,18:12:00,BID CONFIRMED
18,ATGRTATW03870,AP39CT2976,AP/201224/0198,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 LX,2019,45000,0,0,24-08-2020,24-12-2020 18:38:24,24-12-2020,09:06:00,18-01-2021,17:06:00,POSTED FOR SALE
19,ATGRTATW04027,AP39DV1627,AP/201224/0197,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,60000,2,60500,29-09-2020,24-12-2020 18:37:31,24-12-2020,09:09:00,31-12-2020,18:04:00,SOLD OUT
20,ATKHKMTW05635,TS04FA3579,AP/201224/0196,ANDHRA PRADESH,Khammam,TWO WHEELER,HMSI,HONDA SHINE,2019,50000,0,0,24-08-2020,24-12-2020 18:36:39,24-12-2020,09:04:00,18-01-2021,17:06:00,POSTED FOR SALE
21,ATKHKMTW05715,TS28G4718,AP/201224/0195,ANDHRA PRADESH,Khammam,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 LX,2019,46000,0,0,29-09-2020,24-12-2020 18:35:55,24-12-2020,11:07:00,18-01-2021,17:02:00,POSTED FOR SALE
22,ATKHKMTW05778,TS04FA2903,AP/201224/0194,ANDHRA PRADESH,Khammam,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,49000,0,0,24-08-2020,24-12-2020 18:32:26,24-12-2020,08:02:00,18-01-2021,17:09:00,POSTED FOR SALE
23,ATKWJATW01186,AP39EF3451,AP/201224/0193,ANDHRA PRADESH,PAMARRU,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,45000,0,0,29-09-2020,24-12-2020 18:31:47,24-12-2020,11:10:00,18-01-2021,17:06:00,POSTED FOR SALE
24,ATNENETW21238,AP39EF9424,AP/201224/0190,ANDHRA PRADESH,Nellore,TWO WHEELER,YAMAHA,YAMAHA FZ,2020,62000,3,70000,24-08-2020,24-12-2020 18:28:59,24-12-2020,14:13:00,18-01-2021,17:07:00,POSTED FOR SALE
25,ATNLNXTW01912,AP39AK0772,AP/201224/0189,ANDHRA PRADESH,Nellore,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,43000,1,43500,24-08-2020,24-12-2020 18:26:49,24-12-2020,09:12:00,27-12-2020,17:12:00,SOLD OUT
26,ATNLNXTW02036,AP39BP9640,AP/201224/0188,ANDHRA PRADESH,Nellore,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,48000,1,48500,29-09-2020,24-12-2020 18:26:00,24-12-2020,10:10:00,27-12-2020,17:06:00,SOLD OUT
27,ATNLNXTW02058,AP39BT8522,AP/201224/0187,ANDHRA PRADESH,Nellore,TWO WHEELER,HERO MOTOR CORP,PLEASURE,2019,45000,2,47000,29-09-2020,24-12-2020 18:25:08,24-12-2020,11:06:00,27-12-2020,17:08:00,BUYER CANCELLED
28,ATNLNXTW02183,AP39CM7827,AP/201224/0186,ANDHRA PRADESH,Nellore,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,48000,1,48500,24-08-2020,24-12-2020 18:24:07,24-12-2020,08:06:00,27-12-2020,17:06:00,SOLD OUT
29,ATNLNXTW02188,AP39CK2178,AP/201224/0185,ANDHRA PRADESH,Nellore,TWO WHEELER,HERO MOTOR CORP,HERO HF DELUXE,2019,35000,0,0,29-09-2020,24-12-2020 18:23:17,24-12-2020,10:08:00,18-01-2021,17:14:00,POSTED FOR SALE
30,ATOGOGTW01220,AP27BZ1360,AP/201224/0184,ANDHRA PRADESH,Ongole,TWO WHEELER,HERO MOTOR CORP,HERO HF DELUXE,2018,40000,1,39500,29-09-2020,24-12-2020 18:22:10,24-12-2020,09:10:00,31-12-2020,18:13:00,SOLD OUT
31,ATOGOGTW01411,AP27CB7731,AP/201224/0183,ANDHRA PRADESH,Ongole,TWO WHEELER,HERO MOTOR CORP,PASSION PRO,2018,42000,1,38500,24-08-2020,24-12-2020 18:20:55,24-12-2020,09:11:00,06-01-2021,18:08:00,BID CONFIRMED
32,ATOGOGTW02051,AP39AV2716,AP/201224/0182,ANDHRA PRADESH,Ongole,TWO WHEELER,HERO MOTOR CORP,HERO HF DELUXE,2019,45000,1,43500,24-08-2020,24-12-2020 18:20:10,24-12-2020,11:04:00,31-12-2020,18:06:00,SOLD OUT
33,ATOGOGTW02265,AP39BX2486,AP/201224/0181,ANDHRA PRADESH,Ongole,TWO WHEELER,HERO MOTOR CORP,MAESTRO,2019,51000,0,0,29-09-2020,24-12-2020 18:19:26,24-12-2020,13:09:00,18-01-2021,17:09:00,POSTED FOR SALE
34,ATOGOGTW02283,AP39CS7331,AP/201224/0180,ANDHRA PRADESH,Ongole,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,50000,3,52000,24-08-2020,24-12-2020 18:18:47,24-12-2020,09:09:00,18-01-2021,17:04:00,POSTED FOR SALE
35,ATOGOGTW02306,AP39CV9375,AP/201224/0178,ANDHRA PRADESH,Ongole,TWO WHEELER,HERO MOTOR CORP,SPLENDOR PLUS,2019,50000,4,50500,29-09-2020,24-12-2020 18:01:41,24-12-2020,11:01:00,31-12-2020,18:10:00,SOLD OUT
36,ATOGOGTW02311,AP39DD1534,AP/201224/0177,ANDHRA PRADESH,Ongole,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,48000,3,51000,29-09-2020,24-12-2020 18:01:02,24-12-2020,08:10:00,18-01-2021,17:09:00,POSTED FOR SALE
37,ATOGOGTW02401,AP39DT3115,AP/201224/0176,ANDHRA PRADESH,Ongole,TWO WHEELER,HERO MOTOR CORP,Maestro Edge,2019,47000,0,0,21-07-2020,24-12-2020 18:00:23,24-12-2020,14:08:00,18-01-2021,17:11:00,POSTED FOR SALE
38,ATONTETW00503,AP39DQ2289,AP/201224/0175,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,Maestro Edge,2019,45500,0,0,29-09-2020,24-12-2020 17:59:44,24-12-2020,09:12:00,18-01-2021,17:11:00,POSTED FOR SALE
39,ATONTETW00531,AP39DX5991,AP/201224/0174,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 VX,2019,46500,0,0,21-07-2020,24-12-2020 17:59:07,24-12-2020,08:06:00,18-01-2021,17:12:00,POSTED FOR SALE
40,ATONTETW00582,AP39EC6267,AP/201224/0173,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 VX,2019,46500,0,0,21-07-2020,24-12-2020 17:58:28,24-12-2020,13:09:00,18-01-2021,17:12:00,POSTED FOR SALE
41,ATONTETW00583,AP39EJ5142,AP/201224/0172,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 VX,2019,47000,0,0,21-07-2020,24-12-2020 17:57:53,24-12-2020,16:05:00,18-01-2021,17:07:00,POSTED FOR SALE
42,ATONTETW00599,AP39EW9531,AP/201224/0171,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2020,49000,1,49500,29-09-2020,24-12-2020 17:57:15,24-12-2020,09:01:00,18-01-2021,17:07:00,POSTED FOR SALE
43,ATRYRTTW04231,AP39BW9440,AP/201224/0170,ANDHRA PRADESH,RajahmundrY,TWO WHEELER,HMSI,HONDA UNICORN,2019,94000,7,94500,29-09-2020,24-12-2020 17:56:40,24-12-2020,10:19:00,31-12-2020,18:04:00,SOLD OUT
44,ATRYRTTW04301,AP39CD6927,AP/201224/0169,ANDHRA PRADESH,RajahmundrY,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,43000,1,45500,24-08-2020,24-12-2020 17:56:08,24-12-2020,09:10:00,27-12-2020,17:05:00,BID CONFIRMED
45,ATRYRTTW04437,AP39CP2531,AP/201224/0168,ANDHRA PRADESH,RajahmundrY,TWO WHEELER,HMSI,HONDA DIO,2019,47000,1,48000,29-09-2020,24-12-2020 17:55:22,24-12-2020,10:07:00,18-01-2021,17:06:00,POSTED FOR SALE
46,ATTPPZTW01895,AP37DL9791,AP/201224/0167,ANDHRA PRADESH,Eluru,TWO WHEELER,YAMAHA,YAHAMA SCOOTER - FASINO,2018,42000,0,0,24-08-2020,24-12-2020 17:54:41,24-12-2020,12:18:00,18-01-2021,17:05:00,POSTED FOR SALE
47,ATTPPZTW02347,AP39CY1398,AP/201224/0166,ANDHRA PRADESH,Eluru,TWO WHEELER,HERO MOTOR CORP,HERO DUET,2019,41000,0,0,21-07-2020,24-12-2020 17:54:08,24-12-2020,11:05:00,18-01-2021,17:04:00,POSTED FOR SALE
48,ATTPPZTW02401,AP39EL1750,AP/201224/0165,ANDHRA PRADESH,Eluru,TWO WHEELER,YAMAHA,FASCINO,2019,45000,0,0,29-09-2020,24-12-2020 17:53:27,24-12-2020,08:07:00,18-01-2021,17:03:00,POSTED FOR SALE
49,ATTPPZTW02790,AP39EC2084,AP/201224/0164,ANDHRA PRADESH,Eluru,TWO WHEELER,HERO MOTOR CORP,PLEASURE,2019,42000,5,50055,29-09-2020,24-12-2020 17:52:55,24-12-2020,10:06:00,18-01-2021,17:06:00,POSTED FOR SALE
50,ATTPPZTW02860,AP39DZ9701,AP/201224/0163,ANDHRA PRADESH,Eluru,TWO WHEELER,HERO MOTOR CORP,SPLENDOR PLUS,2020,46000,2,47500,21-07-2020,24-12-2020 17:52:23,24-12-2020,11:24:00,27-12-2020,17:05:00,SOLD OUT
51,ATTPPZTW02894,AP39EC4868,AP/201224/0162,ANDHRA PRADESH,Eluru,TWO WHEELER,YAMAHA,SALUTO 125,2019,43000,0,0,29-09-2020,24-12-2020 17:51:50,24-12-2020,09:06:00,18-01-2021,17:04:00,POSTED FOR SALE
52,ATVGSXTW00392,AP39DS2792,AP/201224/0161,ANDHRA PRADESH,Srikakulam,TWO WHEELER,YAMAHA,FUSION,2019,40000,0,0,24-08-2020,24-12-2020 17:51:18,24-12-2020,12:11:00,18-01-2021,17:04:00,POSTED FOR SALE
53,ATVGVZTW02733,AP39E2905,AP/201224/0160,ANDHRA PRADESH,Vizayanagaram,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2018,39000,0,0,29-09-2020,24-12-2020 17:50:45,24-12-2020,09:06:00,18-01-2021,17:04:00,POSTED FOR SALE
54,ATVGVZTW03501,AP39DF1494,AP/201224/0159,ANDHRA PRADESH,Vizayanagaram,TWO WHEELER,HERO MOTOR CORP,PLEASURE,2019,39000,1,39500,29-09-2020,24-12-2020 17:50:10,24-12-2020,08:41:00,18-01-2021,17:13:00,POSTED FOR SALE
55,ATVJELTW01548,AP39ED3817,AP/201224/0158,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,HONDA DIO,2020,65000,4,67500,29-09-2020,24-12-2020 17:49:31,24-12-2020,12:05:00,06-01-2021,18:11:00,SOLD OUT
56,ATVJJMTW00322,AP39EA7411,AP/201224/0157,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,HONDA DIO,2020,44000,3,46000,24-08-2020,24-12-2020 17:48:56,24-12-2020,08:05:00,18-01-2021,17:11:00,POSTED FOR SALE
57,ATVJJMTW00354,AP39EH6274,AP/201224/0156,ANDHRA PRADESH,Eluru,TWO WHEELER,SUZUKI,ACCESS 125,2020,50000,3,58500,21-07-2020,24-12-2020 17:48:19,24-12-2020,08:05:00,18-01-2021,17:07:00,POSTED FOR SALE
58,ATVJVITW02404,AP39DQ0880,AP/201224/0155,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,TVS MOTORS,JUPITER DISC,2020,47000,0,0,24-08-2020,24-12-2020 17:47:42,24-12-2020,11:00:00,18-01-2021,17:11:00,POSTED FOR SALE
59,ATVJVITW02406,AP39DL4301,AP/201224/0154,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,PLEASURE,2019,44000,0,0,29-09-2020,24-12-2020 17:47:04,24-12-2020,10:10:00,18-01-2021,17:05:00,POSTED FOR SALE
60,ATVJVITW02423,AP39DV3021,AP/201224/0153,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,TVS MOTORS,TVS XL SUPER HD,2020,41000,3,41000,29-09-2020,24-12-2020 17:46:30,24-12-2020,12:01:00,31-12-2020,17:05:00,SOLD OUT
61,ATVJVITW02449,AP39DX4115,AP/201224/0152,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 VX,2020,48000,0,0,29-09-2020,24-12-2020 17:45:51,24-12-2020,08:03:00,18-01-2021,17:14:00,POSTED FOR SALE
62,ATVJVITW02457,AP39DY0741,AP/201224/0151,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 VX,2020,48000,0,0,21-07-2020,24-12-2020 17:44:58,24-12-2020,13:05:00,18-01-2021,17:05:00,POSTED FOR SALE
63,ATVJVITW02477,AP39EC4759,AP/201224/0150,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 LX,2019,48000,0,0,29-09-2020,24-12-2020 17:44:18,24-12-2020,11:06:00,18-01-2021,17:11:00,POSTED FOR SALE
64,ATVJVITW02501,AP39EA3828,AP/201224/0149,ANDHRA PRADESH,PAMARRU,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,69000,3,63000,29-09-2020,24-12-2020 17:43:44,24-12-2020,09:01:00,06-01-2021,18:08:00,BID CONFIRMED
65,ATVJVITW02507,AP39EC6813,AP/201224/0148,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA DIO,2020,48000,2,49000,29-09-2020,24-12-2020 17:43:03,24-12-2020,10:06:00,18-01-2021,17:06:00,POSTED FOR SALE
66,ATVJVITW02548,AP39EC2956,AP/201224/0147,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,71000,3,63000,29-09-2020,24-12-2020 17:42:13,24-12-2020,08:11:00,18-01-2021,18:11:00,POSTED FOR SALE
67,ATVJVITW02622,AP39ED1739,AP/201224/0146,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,73000,2,72500,29-09-2020,24-12-2020 17:40:56,24-12-2020,09:04:00,31-12-2020,18:07:00,BID CONFIRMED
68,ATVJVITW02629,AP39ED5654,AP/201224/0145,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,Maestro Edge,2019,47000,0,0,24-08-2020,24-12-2020 17:40:10,24-12-2020,11:04:00,18-01-2021,17:04:00,POSTED FOR SALE
69,ATVWVJTW03270,AP16DZ7667,AP/201224/0144,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA SHINE DISC,2017,41000,2,36500,21-07-2020,24-12-2020 17:39:35,24-12-2020,10:04:00,18-01-2021,18:07:00,POSTED FOR SALE
70,ATVWVJTW05680,AP16FB6659,AP/201224/0143,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,TVS MOTORS,JUPITER CLASSIC,2018,36000,0,0,29-09-2020,24-12-2020 17:39:02,24-12-2020,08:03:00,18-01-2021,17:11:00,POSTED FOR SALE
71,ATVWVJTW06245,AP16FB8498,AP/201224/0142,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA GRAZIA,2018,38000,0,0,29-09-2020,24-12-2020 17:38:16,24-12-2020,11:05:00,18-01-2021,17:12:00,POSTED FOR SALE
72,ATVWVJTW06912,AP16FD8075,AP/201224/0141,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2018,32000,5,38555,21-07-2020,24-12-2020 17:36:51,24-12-2020,08:09:00,18-01-2021,17:09:00,POSTED FOR SALE
73,ATVWVJTW07072,AP16FC3051,AP/201224/0140,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,PLEASURE,2018,37000,0,0,24-08-2020,24-12-2020 17:36:14,24-12-2020,10:08:00,18-01-2021,17:13:00,POSTED FOR SALE
74,ATVWVJTW07309,AP16FE4088,AP/201224/0139,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA DIO,2018,35000,0,0,21-07-2020,24-12-2020 17:35:31,24-12-2020,10:07:00,18-01-2021,17:10:00,POSTED FOR SALE
75,ATVWVJTW08677,AP16FJ9004,AP/201224/0138,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA  X BLADE,2018,47000,0,0,29-09-2020,24-12-2020 17:34:49,24-12-2020,09:14:00,18-01-2021,17:08:00,POSTED FOR SALE
76,ATVWVJTW08887,AP39E0652,AP/201224/0137,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA GRAZIA,2018,43000,0,0,29-09-2020,24-12-2020 17:34:01,24-12-2020,09:16:00,18-01-2021,17:11:00,POSTED FOR SALE
77,ATVWVJTW08926,AP16FC7524,AP/201224/0136,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA SHINE,2018,64000,3,46000,24-08-2020,24-12-2020 17:32:55,24-12-2020,10:02:00,06-01-2021,18:06:00,BID CONFIRMED
78,ATVWVJTW09001,AP39G4744,AP/201224/0135,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA DIO,2018,38868,1,39000,30-06-2020,24-12-2020 17:32:11,24-12-2020,10:04:00,18-01-2021,17:03:00,POSTED FOR SALE
79,ATVWVJTW09007,AP39H6162,AP/201224/0134,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA DIO,2018,40000,2,42500,29-09-2020,24-12-2020 17:31:37,24-12-2020,12:00:00,18-01-2021,17:08:00,POSTED FOR SALE
80,ATVWVJTW09159,AP39AN6648,AP/201224/0133,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2018,39000,2,42500,29-09-2020,24-12-2020 17:30:34,24-12-2020,09:04:00,18-01-2021,17:08:00,POSTED FOR SALE
81,ATVWVJTW09579,AP39BG1230,AP/201224/0132,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,51000,3,55600,21-07-2020,24-12-2020 17:29:52,24-12-2020,12:10:00,31-12-2020,18:03:00,SOLD OUT
82,ATVWVJTW09687,AP39BH7986,AP/201224/0131,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA DIO,2019,45000,0,0,24-08-2020,24-12-2020 17:29:13,24-12-2020,12:08:00,18-01-2021,17:08:00,POSTED FOR SALE
83,ATVWVJTW09690,AP39BP1695,AP/201224/0130,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 VX,2019,47000,0,0,29-09-2020,24-12-2020 17:28:36,24-12-2020,10:15:00,18-01-2021,17:07:00,POSTED FOR SALE
84,ATVWVJTW09941,AP39CA1174,AP/201224/0129,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,TVS MOTORS,TVS XL SUPER HD,2019,45000,6,40100,24-08-2020,24-12-2020 17:27:52,24-12-2020,08:04:00,06-01-2021,18:06:00,SOLD OUT
85,ATVWVJTW10089,AP39CK2508,AP/201224/0128,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,71000,3,63500,21-07-2020,24-12-2020 17:27:07,24-12-2020,11:10:00,06-01-2021,18:04:00,BID CONFIRMED
86,ATVWVJTW10353,AP39BK8213,AP/201224/0127,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HERO MOTOR CORP,HERO DESTINI 125 LX,2019,44000,0,0,29-09-2020,24-12-2020 17:26:26,24-12-2020,09:12:00,18-01-2021,17:03:00,POSTED FOR SALE
87,ATVWVJTW10409,AP39CX5068,AP/201224/0126,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,58000,1,44500,21-07-2020,24-12-2020 17:25:49,24-12-2020,09:04:00,18-01-2021,18:04:00,POSTED FOR SALE
88,ATVWVJTW10670,AP39EL4885,AP/201224/0125,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,LIVO (CBF110G),2019,46000,0,0,21-07-2020,24-12-2020 17:25:07,25-12-2020,10:11:00,18-01-2021,17:03:00,POSTED FOR SALE
89,ATVWVJTW10749,AP39DL4142,AP/201224/0124,ANDHRA PRADESH,VIJAYAWADA,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,61000,1,49500,21-07-2020,24-12-2020 17:24:32,24-12-2020,11:00:00,18-01-2021,18:07:00,POSTED FOR SALE
90,ATGRGSTW02645,AP16EB6013,AP/201224/0123,ANDHRA PRADESH,Guntur,TWO WHEELER,TVS MOTORS,TVS SCOOTY PEP PLUS,2017,25000,0,0,24-08-2020,24-12-2020 17:23:45,24-12-2020,09:02:00,18-01-2021,17:03:00,POSTED FOR SALE
91,ATGRGSTW05109,AP07EB1034,AP/201224/0122,ANDHRA PRADESH,Guntur,TWO WHEELER,TVS MOTORS,Jupiter,2018,61400,0,0,21-07-2020,24-12-2020 17:22:52,24-12-2020,11:06:00,18-01-2021,17:02:00,POSTED FOR SALE
92,ATGRGSTW06197,AP07EK0054,AP/201224/0121,ANDHRA PRADESH,Guntur,TWO WHEELER,HMSI,LIVO (CBF110G),2018,42000,0,0,24-08-2020,24-12-2020 17:22:06,24-12-2020,10:09:00,18-01-2021,17:05:00,POSTED FOR SALE
93,ATGRGSTW06737,AP39AP1778,AP/201224/0120,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,GLAMOUR,2019,55000,3,60500,21-07-2020,24-12-2020 17:20:52,24-12-2020,10:02:00,31-12-2020,18:02:00,SOLD OUT
94,ATGRGSTW07875,AP39CM9080,AP/201224/0119,ANDHRA PRADESH,Guntur,TWO WHEELER,HMSI,HONDA DIO,2019,50500,0,0,29-09-2020,24-12-2020 17:20:07,24-12-2020,11:02:00,18-01-2021,17:07:00,POSTED FOR SALE
95,ATGRGSTW08162,TN52AZ1234,AP/201224/0118,ANDHRA PRADESH,Guntur,TWO WHEELER,HERO MOTOR CORP,HERO HF DELUXE,2019,53000,1,38655,29-09-2020,24-12-2020 17:19:23,24-12-2020,09:05:00,06-01-2021,18:07:00,SOLD OUT
96,ATGRGSTW08206,AP39DG4098,AP/201224/0117,ANDHRA PRADESH,Guntur,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,55000,2,55200,24-08-2020,24-12-2020 17:18:35,24-12-2020,09:07:00,31-12-2020,18:09:00,SOLD OUT
